country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",17-04-2026 19:00,28.3419248,77.319699,NO2,19,21,20
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",17-04-2026 19:00,23.002657,72.591912,PM10,81,179,107
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",17-04-2026 19:00,23.002657,72.591912,CO,5,40,22
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",17-04-2026 19:00,23.020509,72.579261,SO2,5,116,31
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",17-04-2026 19:00,23.016834,72.625775,PM2.5,32,70,49
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",17-04-2026 19:00,23.023389,72.515201,SO2,6,66,24
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",17-04-2026 19:00,23.076793,72.627874,PM2.5,38,84,55
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",17-04-2026 19:00,28.530785,77.271255,NO2,45,168,116
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",17-04-2026 19:00,28.530785,77.271255,SO2,16,74,43
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",17-04-2026 19:00,28.530785,77.271255,CO,10,112,31
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",17-04-2026 19:00,28.623763,77.287209,NO2,29,164,105
India,Delhi,Delhi,"Pusa, Delhi - DPCC",17-04-2026 19:00,28.639652,77.146275,PM2.5,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",17-04-2026 19:00,28.563262,77.186937,NO2,26,148,85
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",17-04-2026 19:00,28.531346,77.190156,CO,6,106,32
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",17-04-2026 19:00,28.62181,77.1944633,PM2.5,55,413,214
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",17-04-2026 19:00,28.699793,77.165453,SO2,12,39,21
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",17-04-2026 19:00,23.107969,72.574648,NH3,2,8,6
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",17-04-2026 19:00,23.221714,72.654328,OZONE,33,40,39
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",17-04-2026 19:00,23.59315,72.372792,NH3,2,5,3
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",17-04-2026 19:00,23.59315,72.372792,CO,52,67,54
India,Gujarat,Surat,"Science Center, Surat - SMC",17-04-2026 19:00,21.170046,72.795405,SO2,18,20,19
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",17-04-2026 19:00,28.636429,77.201067,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",17-04-2026 19:00,28.636429,77.201067,CO,102,132,107
India,Delhi,Delhi,"Mundka, Delhi - DPCC",17-04-2026 19:00,28.684678,77.076574,PM10,173,500,378
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",17-04-2026 19:00,28.60909,77.0325413,PM2.5,50,212,102
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",17-04-2026 19:00,28.570173,76.933762,NO2,20,142,77
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",17-04-2026 19:00,28.570173,76.933762,OZONE,3,77,58
India,Delhi,Delhi,"Narela, Delhi - DPCC",17-04-2026 19:00,28.822836,77.101981,CO,11,82,35
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",17-04-2026 19:00,28.56789,77.250515,PM10,197,446,348
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",17-04-2026 19:00,29.432304,76.972765,OZONE,30,30,30
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",17-04-2026 19:00,28.52123,76.37138,SO2,10,13,12
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",17-04-2026 19:00,29.0272,77.0621,PM10,107,118,110
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",17-04-2026 19:00,29.0272,77.0621,NO2,12,13,12
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",17-04-2026 19:00,30.1480566,77.2893471,PM10,NA,NA,NA
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",17-04-2026 19:00,30.1480566,77.2893471,OZONE,14,34,30
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",17-04-2026 19:00,30.943887,76.801991,PM10,52,278,139
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",17-04-2026 19:00,30.943887,76.801991,NO2,1,37,15
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",17-04-2026 19:00,23.707909,86.41467,PM2.5,38,229,65
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",17-04-2026 19:00,23.707909,86.41467,CO,37,40,39
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",17-04-2026 19:00,16.172806,75.659694,CO,5,54,25
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",17-04-2026 19:00,15.888653,74.541751,NO2,10,68,39
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",17-04-2026 19:00,12.9135218,77.5950804,SO2,18,18,18
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",17-04-2026 19:00,12.9352049,77.6814488,PM10,26,91,64
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",17-04-2026 19:00,12.9352049,77.6814488,NH3,NA,NA,NA
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",17-04-2026 19:00,28.4417,77.3217,OZONE,10,10,10
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",17-04-2026 19:00,28.4227,77.0667,PM2.5,304,500,375
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",17-04-2026 19:00,28.4227,77.0667,NH3,6,10,8
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",17-04-2026 19:00,28.4275,77.1465,SO2,3,15,9
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",17-04-2026 19:00,28.4275,77.1465,CO,22,55,43
